actual_relative_frobenius_error,actual_relative_squared_frobenius_error,all_class_miou,checkpoint_sha256,dataset_validation_report_reference,dataset_validation_report_sha256,dense_target_layer_parameter_count,frequency_weighted_iou,full_model_macs,full_model_parameter_count,max_unfolding_tail_bound_squared,method,model_kind,output_mode_tail_bound_squared,pixel_accuracy,present_class_miou,rank,seed,split,status,target_layer_macs,target_layer_parameter_count
0.9509073054309112,0.9042247035218761,0.22963659877456855,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.738333758260793,54564935040,32222944,0.7323150301246241,cp,cp_structural_zero_shot,0.7323150301246241,0.8429356598512721,0.24547360558660775,128,0,test,completed,97637760,595840
0.9507631840497448,0.903950632144409,0.25447304370368845,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7613860302876247,54564935040,32222944,0.7323150301246241,cp,cp_structural_zero_shot,0.7323150301246241,0.862090069384223,0.2720229087867015,128,1,val,completed,97637760,595840
0.9507631840497448,0.903950632144409,0.23017541679392284,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.737806952808868,54564935040,32222944,0.7323150301246241,cp,cp_structural_zero_shot,0.7323150301246241,0.8442746636812342,0.24604958346936578,128,1,test,completed,97637760,595840
0.9508535039747094,0.9041223860209827,0.2529343961353377,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7610196549924862,54564935040,32222944,0.7323150301246241,cp,cp_structural_zero_shot,0.7323150301246241,0.8606645481382124,0.2703781475929472,128,2,val,completed,97637760,595840
0.9508535039747094,0.9041223860209827,0.23091006169741574,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7384877800846696,54564935040,32222944,0.7323150301246241,cp,cp_structural_zero_shot,0.7323150301246241,0.8433705873954469,0.24683489353861682,128,2,test,completed,97637760,595840
0.8125509948320694,0.6602391192025857,0.33259152379865503,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7933981340491011,55700029440,39102304,0.6602391192025858,matrix_svd_output_unfolding,matrix_svd_output_unfolding_zero_shot,0.6602391192025858,0.8793607608991083,0.3555288702675278,256,,val,completed,1232732160,7475200
0.8125509948320694,0.6602391192025857,0.29984494353267266,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7653832843942558,55700029440,39102304,0.6602391192025858,matrix_svd_output_unfolding,matrix_svd_output_unfolding_zero_shot,0.6602391192025858,0.859030578735627,0.3205239051556156,256,,test,completed,1232732160,7475200
0.929809587926232,0.8645458697995494,0.27241352441421507,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7721980338900316,54662572800,32814688,0.6602391192025858,cp,cp_structural_zero_shot,0.6602391192025858,0.868492177374827,0.29120066402898853,256,0,val,completed,195275520,1187584
0.929809587926232,0.8645458697995494,0.24832162745986616,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7482555720616691,54662572800,32814688,0.6602391192025858,cp,cp_structural_zero_shot,0.6602391192025858,0.8500530853009239,0.26544725693985693,256,0,test,completed,195275520,1187584
0.9297934589984768,0.8645158763963522,0.26898733683427456,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.772106918561709,54662572800,32814688,0.6602391192025858,cp,cp_structural_zero_shot,0.6602391192025858,0.8682016384092756,0.2875381876504314,256,1,val,completed,195275520,1187584
0.9297934589984768,0.8645158763963522,0.2469606137104619,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7494215145901425,54662572800,32814688,0.6602391192025858,cp,cp_structural_zero_shot,0.6602391192025858,0.8508191360903805,0.2639923801732524,256,1,test,completed,195275520,1187584
0.9297951935014005,0.8645191018583068,0.27099278379513664,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7724564509055383,54662572800,32814688,0.6602391192025858,cp,cp_structural_zero_shot,0.6602391192025858,0.8684226663822336,0.2896819412982495,256,2,val,completed,195275520,1187584
0.9297951935014005,0.8645191018583068,0.24623342651715005,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7486201822320394,54662572800,32814688,0.6602391192025858,cp,cp_structural_zero_shot,0.6602391192025858,0.850134632557453,0.26321504213902247,256,2,test,completed,195275520,1187584
0.7437814974875172,0.5532109160047736,0.3380481742861921,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7945461141777819,56932761600,46573408,0.5532109160047733,matrix_svd_output_unfolding,matrix_svd_output_unfolding_zero_shot,0.5532109160047733,0.8804130093279992,0.3613618414783433,512,,val,completed,2465464320,14946304
0.7437814974875172,0.5532109160047736,0.3011445639214447,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7658395261152039,56932761600,46573408,0.5532109160047733,matrix_svd_output_unfolding,matrix_svd_output_unfolding_zero_shot,0.5532109160047733,0.8596207219590315,0.3219131545367167,512,,test,completed,2465464320,14946304
0.8987136742270401,0.8076862682426663,0.28533385788022825,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7808667359408096,54857848320,33998176,0.5532109160047733,cp,cp_structural_zero_shot,0.5532109160047733,0.8730755963585217,0.3050120549754164,512,0,val,completed,390551040,2371072
0.8987136742270401,0.8076862682426663,0.26366699672484945,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7563902070593889,54857848320,33998176,0.5532109160047733,cp,cp_structural_zero_shot,0.5532109160047733,0.8547377550056194,0.28185092753345975,512,0,test,completed,390551040,2371072
0.898800556561119,0.8078424404745772,0.28476893092957134,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7804816900603878,54857848320,33998176,0.5532109160047733,cp,cp_structural_zero_shot,0.5532109160047733,0.8727450855394633,0.30440816754540384,512,1,val,completed,390551040,2371072
0.898800556561119,0.8078424404745772,0.26318883234165985,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7559208280829559,54857848320,33998176,0.5532109160047733,cp,cp_structural_zero_shot,0.5532109160047733,0.8542338279773092,0.28133978629625706,512,1,test,completed,390551040,2371072
0.8985678922398833,0.8074242569644265,0.2834630081940363,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7799191802828005,54857848320,33998176,0.5532109160047733,cp,cp_structural_zero_shot,0.5532109160047733,0.8726757565128191,0.3030121811729353,512,2,val,completed,390551040,2371072
0.8985678922398833,0.8074242569644265,0.26254748092632046,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7557333001518517,54857848320,33998176,0.5532109160047733,cp,cp_structural_zero_shot,0.5532109160047733,0.854421407889774,0.2806542037488253,512,2,test,completed,390551040,2371072
